MPG City,MPG Highway,Horsepower,Weight (000 lbs),Torque Foot Pounds,Displacement CI,Fuel Capacity,Seating (Standard),Cylinders,Transmission Speeds,Transmission (Automatic/Manual),Height,Length,Wheelbase,Width,Track (Front),Track (Rear),Base Price MSRP,Weight,Curb Weight AT,Model,Model Year
23,28,130,3.091,135,121,16.4,5,4,5,M,69.3,173,103.1,70.8,60.6,59.8,18565,3091,,2004 Mazda Tribute DX I4 Current,2004
24,29,143,3.001,154,140,16.5,3,4,5,M,64.9,187.5,111.6,69.4,58.6,57.3,13930,3001,,2003 Mazda Truck Regular Cab 4x2 B2300 Base Current,2003
21,31,189,3.265,192,110,16.4,4,4,6,M,54.3,171,106.9,68,58.8,57.6,24950,3265,3280,2003 Mercedes-Benz C-Class C230 Kompressor Sports Coupe Current,2003
20,27,221,3.856,232,195,18.5,7,6,5,A,59.3,190,111.5,70.8,60.4,60.6,49250,3856,3856,2003 Mercedes-Benz E-Class E320 Wagon Current,2003
17,24,275,4.166,295,260,23.3,5,8,5,A,57.2,203.1,121.5,73.1,62,62,72600,4166,4166,2003 Mercedes-Benz S-Class S430 Sedan Current,2003
15,22,302,4.045,339,303,21.1,2,8,5,A,51.1,178.5,100.8,71.9,61.4,61,85990,4045,4045,2003 Mercedes-Benz SL-Class SL500 Roadster Current,2003
16,22,302,4.07,339,303,23.3,4,8,5,A,55.4,196.4,113.6,73.1,62.1,62.1,91650,4070,4070,2003 Mercedes-Benz CL-Class CL500 Coupe Current,2003
15,19,215,4.786,229,195,22.6,5,6,5,A,71.7,182.6,111,72.4,60.4,60.4,36600,4786,4786,2003 Mercedes-Benz M-Class ML320 [Discontinued] Current,2003
13,14,292,5.423,336,303,25.4,5,8,5,A,77.8,185.6,112.2,71.3,58.1,58.1,73600,5423,5423,2003 Mercedes-Benz G-Class G500 Current,2003
19,28,192,3.0825,200,140,15.9,2,4,6,M,50.4,157.9,94.5,67.5,58.6,58.5,39600,3082.5,3110,2004 Mercedes-Benz SLK-Class SLK230 Roadster Current,2004
19,27,215,3.515,229,195,16.4,4,6,5,A,55.4,182.6,106.9,68.5,58.9,58,44350,3515,3515,2004 Mercedes-Benz CLK-Class CLK320 Coupe Current,2004
17,25,224,4.052,272,281,19,6,8,4,A,56.8,211.9,114.7,78.2,63.4,65.6,23970,4052,4052,2004 Mercury Grand Marquis GS Current,2004
17,23,302,4.195,318,281,19,5,8,4,A,58.9,211.9,114.7,78.2,63.7,66.2,33770,4195,4195,2004 Mercury Marauder Sedan Current,2004
20,28,155,3.336,185,182,18,6,6,4,A,55.5,199.8,108.5,73,61.6,62.1,20925,3336,3336,2004 Mercury Sable GS Sedan Current,2004
15,21,210,4.374,254,245,22.5,7,6,5,A,71.4,189.5,113.8,72.1,60.9,61.2,29350,4374,4374,2004 Mercury Mountaineer 4X2 Convenience 4.0L Current,2004
28,37,115,2.5405,110,98,13.2,4,4,5,M,55.9,142.8,97.1,66.5,57.4,57.7,16425,2540.5,2557,2003 MINI Cooper Base Current,2003
27,33,120,2.668,130,122,13.2,5,4,5,M,54.1,177.6,102.4,66.7,57.9,57.9,14047,2668,2690,2003 Mitsubishi Lancer ES Current,2003
21,27,140,3.031,155,143,16.3,5,4,4,A,55.7,187.8,103.7,68.5,59.4,59.3,17857,3031,3031,2003 Mitsubishi Galant DE Current,2003
23,31,147,2.943,158,143,16.4,4,4,5,M,51.6,176.8,100.8,68.9,59.4,59.4,18167,2943,2976,2003 Mitsubishi Eclipse RS Current,2003
17,25,205,3.439,231,213,19,5,6,4,A,53.9,194.1,107.1,70.3,60.8,60.4,25977,3439,3439,2003 Mitsubishi Diamante ES Current,2003
